OUI,Manufacturer,Country
286FB9,"Nokia Shanghai Bell Co., Ltd.",CN
08EA44,Extreme Networks Headquarters,US
F4EAB5,Extreme Networks Headquarters,US
B87CF2,Extreme Networks Headquarters,US
E0A129,Extreme Networks Headquarters,US
A8C647,Extreme Networks Headquarters,US
A473AB,Extreme Networks Headquarters,US
0C9B78,Extreme Networks Headquarters,US
A4C7F6,Extreme Networks Headquarters,US
B42D56,Extreme Networks Headquarters,US
887E25,Extreme Networks Headquarters,US
001977,Extreme Networks Headquarters,US
38E2CA,Katun Corporation,US
B05B99,Sagemcom Broadband SAS,FR
E80AB9,"Cisco Systems, Inc",US
78465F,"Fiberhome Telecommunication Technologies Co.,LTD",CN
9075DE,Zebra Technologies Inc.,US
80BA16,Micas Networks Inc.,US
10E992,INGRAM MICRO SERVICES,FR
78F276,Cyklop Fastjet Technologies (Shanghai) Inc.,CN
20F83B,"Nabu Casa, Inc.",US
F01B24,zte corporation,CN
B84C87,IEEE Registration Authority,US
E4F14C,Private,
10061C,Espressif Inc.,CN
E00630,"HUAWEI TECHNOLOGIES CO.,LTD",CN
04D168,"Sunplus Technology Co., Ltd.",TW
644C69,CONPROVE,BR
DCD160,"Tianjin Changdatong Technology Co.,LTD",CN
644ED7,HP Inc.,US
9CE330,Cisco Meraki,US
04A959,"New H3C Technologies Co., Ltd",CN
0CB983,"Honor Device Co., Ltd.",CN
2CB301,"Honor Device Co., Ltd.",CN
000E72,Arca Technologies S.r.l.,IT
E0C2B7,Masimo Corporation,US
C88BE8,Masimo Corporation,US
E4C767,Intel Corporate,MY
902D77,Edgecore Americas Networking Corporation,US
6CFBED,GN Audio A/S,DK
E4F27C,Juniper Networks,US
DC7CF7,"China Mobile Group Device Co.,Ltd.",CN
906C4B,Advance Security Electronics,US
D48AFC,Espressif Inc.,CN
E465B8,Espressif Inc.,CN
E001C7,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
B4DF91,Cisco Meraki,US
98EE8C,zte corporation,CN
FC500C,Sitehop Ltd,GB
50E478,"Sichuan AI-Link Technology Co., Ltd.",CN
90C710,zte corporation,CN
48D475,Lampuga GmbH,DE
601AC7,"Nintendo Co.,Ltd",JP
48DA35,IEEE Registration Authority,US
A881FE,"Luxul Tech Co., Ltd",CN
649A08,"Shenzhen SuperElectron Technology Co.,Ltd.",CN
50F222,EM Microelectronic,CH
307A57,Accuenergy (CANADA) Inc,CA
CCEB5E,Xiaomi Communications Co Ltd,CN
60C78D,Juniper Networks,US
DC5193,zte corporation,CN
7478A6,"Fortinet, Inc.",US
001982,SmarDTV Corporation,CH
50FE0C,AzureWave Technology Inc.,TW
BCFD0C,Shenzhen Phaten Tech. LTD,CN
1865C7,Dongguan YIMO Technology Co.LTD,CN
0C01C8,"DENSO Co.,Ltd",JP
F42E48,zte corporation,CN
ACD75B,Sagemcom Broadband SAS,FR
B4C2E0,"Bouffalo Lab (Nanjing) Co., Ltd.",CN
040986,Arcadyan Corporation,TW
481BA4,"Cisco Systems, Inc",US
F0EE7A,"Apple, Inc.",US
203AEB,zte corporation,CN
5876B3,"Ubee Interactive Co., Limited",HK
E87072,"Hangzhou BroadLink Technology Co.,Ltd",CN
D8DAF1,"HUAWEI TECHNOLOGIES CO.,LTD",CN
54443B,"HUAWEI TECHNOLOGIES CO.,LTD",CN
5C7075,"HUAWEI TECHNOLOGIES CO.,LTD",CN
CC03FA,Vantiva USA LLC,US
48F7C0,Vantiva USA LLC,US
480033,Vantiva USA LLC,US
14987D,Vantiva USA LLC,US
58238C,Vantiva USA LLC,US
80B234,Vantiva USA LLC,US
8417EF,Vantiva USA LLC,US
A456CC,Vantiva USA LLC,US
70037E,Vantiva USA LLC,US
441C12,Vantiva USA LLC,US
5C7695,Vantiva USA LLC,US
AC4CA5,Vantiva USA LLC,US
00CB7A,Vantiva USA LLC,US
F8D2AC,Vantiva USA LLC,US
CCF3C8,Vantiva USA LLC,US
40F3B0,Texas Instruments,US
149CEF,Texas Instruments,US
80C41B,Texas Instruments,US
3468B5,Texas Instruments,US
58AD12,"Apple, Inc.",US
60FDA6,"Apple, Inc.",US
80A997,"Apple, Inc.",US
348C5E,"Apple, Inc.",US
D0B2C4,Vantiva USA LLC,US
80C6AB,Vantiva USA LLC,US
383FB3,Vantiva USA LLC,US
641236,Vantiva USA LLC,US
0C75D2,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
D87766,"Nurivoice Co., Ltd",KR
B8A75E,"Wuxi Xinjie Electric Co.,Ltd",CN
8C53E6,Wistron Neweb Corporation,TW
345E08,"Roku, Inc",US
708185,"New H3C Technologies Co., Ltd",CN
50D33B,cloudnineinfo,CN
84C8A0,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
C0E911,RealNetworks,US
8C3B4A,"Universal Global Scientific Industrial Co., Ltd.",TW
A88B28,"SHENZHEN DIYANG SMART TECHNOLOGY CO.,LTD.",CN
08F01E,eero inc.,US
18A5FF,Arcadyan Corporation,TW
8C1AF3,"Shenzhen Gooxi Information Security CO.,Ltd.",CN
F4B6C6,Indra Heera Technology LLP,IN
6C03B5,"Cisco Systems, Inc",US
58C41E,IEEE Registration Authority,US
A89162,Sophos Ltd,GB
709883,"SHENZHEN KAYAN ELECTRONICS., LTD.",CN
F43A7B,zte corporation,CN
689E29,zte corporation,CN
C87023,Altice Labs S.A.,PT
E44097,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
DCB4CA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
745D22,"LCFC(HeFei) Electronics Technology co., ltd",CN
E88088,"LCFC(HeFei) Electronics Technology co., ltd",CN
8CD54A,"TAIYO YUDEN CO.,LTD",JP
A002A5,Intel Corporate,MY
ACC048,"OnePlus Technology (Shenzhen) Co., Ltd",CN
408432,Microchip Technology Inc.,US
88B5FF,"Shenzhen iComm Semiconductor CO.,LTD",CN
44D5C1,EM Microelectronic,CH
943BB1,"Kaon Group Co., Ltd.",KR
44F034,"Kaon Group Co., Ltd.",KR
888F10,"Shenzhen Max Infinite Technology Co.,Ltd.",CN
C4799F,"Haiguang Smart Device Co.,Ltd.",CN
842859,Amazon Technologies Inc.,US
5016F4,"Motorola Mobility LLC, a Lenovo Company",US
3C08CD,Juniper Networks,US
68505D,Halo Technologies,US
7C6A8A,"SINOBONDER Technology Co., Ltd.",CN
90ECE3,Nokia,CA
887B2C,zte corporation,CN
60DBEF,Unify Software and Solutions GmbH & Co. KG,DE
0016F6,Nevion,NO
40B7FC,Phyplus Microelectronics Limited,CN
682C4F,leerang corporation,KR
68DDB7,"TP-LINK TECHNOLOGIES CO.,LTD.",CN
14D864,"TP-LINK TECHNOLOGIES CO.,LTD.",CN
B851A9,Nokia,CA
D077CE,Edgecore Networks Corporation,TW
ECAFF9,Hailo Technologies Ltd.,IL
FC59C0,Arista Networks,US
641B2F,"Samsung Electronics Co.,Ltd",KR
9C73B1,"Samsung Electronics Co.,Ltd",KR
388A06,"Samsung Electronics Co.,Ltd",KR
B0D888,"Panasonic Automotive Systems Co.,Ltd",JP
28EC22,eero inc.,US
40D4F6,"Honor Device Co., Ltd.",CN
7C3180,SMK corporation,JP
905607,"Sichuan AI-Link Technology Co., Ltd.",CN
483133,Robert Bosch Elektronika Kft.,HU
B8AB61,Cisco Meraki,US
40ED00,TP-Link Corporation Limited,HK
782DAD,"HUAWEI TECHNOLOGIES CO.,LTD",CN
D06158,"HUAWEI TECHNOLOGIES CO.,LTD",CN
244BF1,"HUAWEI TECHNOLOGIES CO.,LTD",CN
60152B,Palo Alto Networks,US
44D77E,Robert Bosch GmbH,DE
908855,"Cisco Systems, Inc",US
687161,"Cisco Systems, Inc",US
883F37,"UHTEK CO., LTD.",KR
0080B8,"DMG MORI Digital Co., LTD",JP
2873F6,Amazon Technologies Inc.,US
C4EBFF,zte corporation,CN
4893DC,UNIWAY INFOCOM PVT LTD,IN
5CE688,VECOS Europe B.V.,NL
5C2886,Inventec(Chongqing) Corporation,CN
D4BAFA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
4CEC0F,"Cisco Systems, Inc",US
843E1D,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
E0CB1D,Amazon Technologies Inc.,US
